Titulo,Rua,Regiao,Area,Preco
Apartamento,Avenida Duque de Caxias,"Santa Ifigênia, São Paulo",60 m² • ,
Apartamento,Rua dos Andradas,"Santa Ifigênia, São Paulo",41 m² • ,
Apartamento,Rua Aurora,"Santa Ifigênia, São Paulo",40 m² • ,
Apartamento,Rua dos Gusmões,"Santa Ifigênia, São Paulo",64 m² • ,
Apartamento,Rua Aurora,"Santa Ifigênia, São Paulo",40 m² • ,
Apartamento,Avenida Ipiranga,"Santa Ifigênia, São Paulo",73 m² • ,
Apartamento,Rua dos Timbiras,"Santa Ifigênia, São Paulo",36 m² • ,
Apartamento,Avenida Cásper Líbero,"Santa Ifigênia, São Paulo",61 m² • ,
Apartamento,Rua Vitória,"Santa Ifigênia, São Paulo",38 m² • ,
Apartamento,Rua Vitória,"Santa Ifigênia, São Paulo",68 m² • ,
Apartamento,Rua Vitória,"Santa Ifigênia, São Paulo",69 m² • ,
